epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1246,0.03264,6.9122,3.84135,0.47183,0.24187,0.33737,0.14044,0.02757,6.30276,3.2924,0.0033265,0.0033265,0.0033265
2,116.352,0.02524,5.06726,3.00278,0.77679,0.24813,0.51031,0.28804,0.02145,3.60288,2.73881,0.00662687,0.00662687,0.00662687
3,170.557,0.02118,4.48139,2.63542,0.783,0.28915,0.5333,0.28757,0.0203,3.817,2.65269,0.00989424,0.00989424,0.00989424
4,226.499,0.01907,4.07011,2.44671,0.79081,0.44919,0.61941,0.2832,0.0213,3.60321,2.78694,0.0098515,0.0098515,0.0098515
5,281.504,0.01783,3.80976,2.32607,0.83473,0.42275,0.63419,0.36267,0.01777,3.14562,2.41618,0.009802,0.009802,0.009802
6,335.424,0.01715,3.59215,2.2635,0.86863,0.46087,0.67186,0.39504,0.01818,2.83623,2.42287,0.0097525,0.0097525,0.0097525
7,391.737,0.01653,3.43999,2.19911,0.86448,0.48961,0.68345,0.43924,0.01626,2.53892,2.2621,0.009703,0.009703,0.009703
8,448.165,0.01615,3.34168,2.17142,0.85323,0.55099,0.71374,0.4385,0.01691,2.61772,2.33566,0.0096535,0.0096535,0.0096535
9,504.379,0.01589,3.27831,2.13624,0.89771,0.57433,0.74383,0.47579,0.01625,2.21781,2.28582,0.009604,0.009604,0.009604
10,560.527,0.01569,3.19277,2.11363,0.88463,0.53567,0.71077,0.48701,0.0148,2.26716,2.12234,0.0095545,0.0095545,0.0095545
11,616.923,0.01541,3.11894,2.08972,0.87425,0.60252,0.74951,0.49138,0.0157,2.0949,2.16739,0.009505,0.009505,0.009505
12,673.744,0.01516,3.05415,2.07435,0.90083,0.64237,0.77679,0.50743,0.01597,2.09056,2.2059,0.0094555,0.0094555,0.0094555
13,730.603,0.01505,3.00258,2.05532,0.91144,0.59805,0.75942,0.51393,0.0151,2.04298,2.11305,0.009406,0.009406,0.009406
14,786.064,0.01488,2.92633,2.04201,0.90781,0.65859,0.78827,0.53595,0.01481,1.99439,2.0584,0.0093565,0.0093565,0.0093565
15,842.794,0.01479,2.92957,2.029,0.90574,0.68287,0.80604,0.5807,0.01323,1.84655,1.9384,0.009307,0.009307,0.009307
16,899.883,0.01454,2.88166,2.00618,0.91721,0.69238,0.81414,0.57634,0.01368,1.80032,1.96613,0.0092575,0.0092575,0.0092575
17,956.585,0.01444,2.81395,1.99663,0.91437,0.70782,0.82424,0.59093,0.01359,1.78234,1.95024,0.009208,0.009208,0.009208
18,1012.84,0.01432,2.80074,1.98958,0.89955,0.68508,0.80257,0.551,0.01488,1.86695,2.07434,0.0091585,0.0091585,0.0091585
19,1068.83,0.01413,2.73485,1.97207,0.91346,0.70965,0.82094,0.58431,0.01356,1.77434,1.95549,0.009109,0.009109,0.009109
20,1124.7,0.01424,2.72548,1.97278,0.91622,0.72898,0.82804,0.59087,0.01338,1.71972,1.92378,0.0090595,0.0090595,0.0090595
21,1181.48,0.01415,2.69606,1.96936,0.92268,0.70872,0.82356,0.60134,0.01308,1.70534,1.91668,0.00901,0.00901,0.00901
22,1237.52,0.014,2.65693,1.95139,0.91821,0.71158,0.82817,0.60704,0.01269,1.67441,1.86466,0.0089605,0.0089605,0.0089605
23,1293.41,0.01394,2.63381,1.94896,0.91721,0.74233,0.84344,0.63174,0.012,1.64085,1.83268,0.008911,0.008911,0.008911
24,1348.97,0.01386,2.60064,1.93712,0.92295,0.73829,0.83865,0.60323,0.01315,1.62429,1.89777,0.0088615,0.0088615,0.0088615
25,1407.44,0.01378,2.59466,1.921,0.92381,0.76677,0.85852,0.64034,0.01214,1.55074,1.79969,0.008812,0.008812,0.008812
26,1463.36,0.01368,2.56367,1.91039,0.91462,0.77437,0.85883,0.63897,0.01227,1.54312,1.81014,0.0087625,0.0087625,0.0087625
