epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2016,1.78476,2.30841,3.62184,0.30543,0.44799,0.32356,0.16638,1.15012,1.57682,2.66641,0.0019959,0.0019959,0.0019959
2,121.77,1.17735,1.65644,2.52406,0.32882,0.51055,0.35185,0.16866,1.09275,1.37537,2.37178,0.00397612,0.00397612,0.00397612
3,179.232,1.00876,1.44886,2.17735,0.43593,0.57549,0.46742,0.28541,0.89736,1.08185,2.05201,0.00593654,0.00593654,0.00593654
4,236.625,0.94459,1.30018,2.03174,0.49123,0.55753,0.50575,0.30882,0.89849,1.10169,1.9998,0.00787716,0.00787716,0.00787716
5,292.13,0.9231,1.20804,1.9786,0.54452,0.5356,0.55384,0.34716,0.88613,1.06189,1.96141,0.00979798,0.00979798,0.00979798
6,347.373,0.89976,1.12139,1.91858,0.63544,0.61289,0.66081,0.43919,0.81108,0.87201,1.82488,0.0097525,0.0097525,0.0097525
7,402.763,0.86237,1.03392,1.85509,0.67308,0.67385,0.71827,0.47699,0.77594,0.79343,1.75836,0.009703,0.009703,0.009703
8,458.51,0.83765,0.97802,1.8129,0.66865,0.62997,0.68894,0.46388,0.72198,0.83171,1.69553,0.0096535,0.0096535,0.0096535
9,514.079,0.80469,0.92286,1.74892,0.74105,0.70498,0.77208,0.54058,0.68232,0.67384,1.60745,0.009604,0.009604,0.009604
10,569.461,0.79205,0.88505,1.72843,0.76229,0.69048,0.78959,0.55388,0.6914,0.66714,1.61768,0.0095545,0.0095545,0.0095545
11,624.861,0.76474,0.84019,1.68858,0.74346,0.7259,0.78175,0.55645,0.67816,0.64836,1.59623,0.009505,0.009505,0.009505
12,680.394,0.7637,0.83023,1.68308,0.79418,0.74133,0.82406,0.59291,0.65404,0.5963,1.55719,0.0094555,0.0094555,0.0094555
13,735.307,0.74837,0.80373,1.65386,0.81703,0.75602,0.83562,0.60592,0.64421,0.57116,1.54178,0.009406,0.009406,0.009406
14,790.243,0.73225,0.77393,1.63144,0.80698,0.75449,0.83006,0.60053,0.65908,0.58261,1.52752,0.0093565,0.0093565,0.0093565
15,845.345,0.72324,0.76098,1.61039,0.83213,0.75829,0.8611,0.63464,0.61979,0.55666,1.4769,0.009307,0.009307,0.009307
16,900.569,0.7135,0.73866,1.59608,0.83991,0.79638,0.8713,0.65625,0.5906,0.48982,1.45302,0.0092575,0.0092575,0.0092575
17,956.535,0.70243,0.72118,1.587,0.8338,0.78542,0.87078,0.64661,0.59937,0.50289,1.45812,0.009208,0.009208,0.009208
18,1011.65,0.69838,0.71113,1.57417,0.82667,0.82467,0.8844,0.66557,0.59323,0.47285,1.44035,0.0091585,0.0091585,0.0091585
19,1066.64,0.68703,0.69097,1.55411,0.8541,0.79894,0.87724,0.66214,0.58489,0.48482,1.42372,0.009109,0.009109,0.009109
20,1121.18,0.67896,0.68217,1.54249,0.88565,0.80965,0.89916,0.68973,0.56788,0.44035,1.41254,0.0090595,0.0090595,0.0090595
21,1176.73,0.67286,0.66878,1.53153,0.84601,0.80506,0.88236,0.67494,0.56681,0.47127,1.39393,0.00901,0.00901,0.00901
22,1231.99,0.66661,0.65816,1.52652,0.85561,0.83203,0.88616,0.67442,0.57352,0.45704,1.41085,0.0089605,0.0089605,0.0089605
23,1286.91,0.66146,0.64985,1.51034,0.8678,0.80976,0.89538,0.6911,0.56764,0.44443,1.4081,0.008911,0.008911,0.008911
24,1342.63,0.65944,0.64128,1.50682,0.89069,0.84895,0.91577,0.71784,0.53427,0.40405,1.34899,0.0088615,0.0088615,0.0088615
25,1397.66,0.65268,0.6218,1.49318,0.86475,0.87192,0.9169,0.71829,0.53718,0.39952,1.34993,0.008812,0.008812,0.008812
26,1453.04,0.6443,0.6171,1.48179,0.88673,0.85847,0.91679,0.72336,0.53426,0.39699,1.34342,0.0087625,0.0087625,0.0087625
27,1509.35,0.64086,0.60928,1.47537,0.89359,0.85916,0.92715,0.73159,0.52822,0.37756,1.33992,0.008713,0.008713,0.008713
28,1564.69,0.63553,0.60689,1.46427,0.89279,0.85783,0.92643,0.73808,0.51366,0.37443,1.31023,0.0086635,0.0086635,0.0086635
29,1619.49,0.63373,0.59489,1.46393,0.90871,0.85667,0.93065,0.74175,0.51539,0.37014,1.3182,0.008614,0.008614,0.008614
30,1674.06,0.62589,0.58821,1.45194,0.9068,0.87806,0.93733,0.74799,0.51248,0.35887,1.31776,0.0085645,0.0085645,0.0085645
31,1729.23,0.62152,0.58417,1.44784,0.90554,0.87076,0.93485,0.74518,0.51873,0.35907,1.32097,0.008515,0.008515,0.008515
32,1784.33,0.62193,0.58186,1.44446,0.92085,0.85215,0.93059,0.73893,0.51008,0.3605,1.31117,0.0084655,0.0084655,0.0084655
33,1839.53,0.61486,0.57659,1.43485,0.92131,0.86249,0.93819,0.75576,0.50162,0.35527,1.29668,0.008416,0.008416,0.008416
34,1895.16,0.61643,0.56998,1.43928,0.90384,0.88207,0.94309,0.75817,0.49846,0.33831,1.30348,0.0083665,0.0083665,0.0083665
35,1950.37,0.60704,0.55954,1.41971,0.90634,0.88068,0.94665,0.76243,0.4877,0.33716,1.28308,0.008317,0.008317,0.008317
36,2005.54,0.60711,0.55929,1.41763,0.92152,0.87375,0.94623,0.77065,0.48725,0.32925,1.26864,0.0082675,0.0082675,0.0082675
37,2061.5,0.60186,0.55098,1.41074,0.92261,0.88509,0.9503,0.77526,0.47859,0.32541,1.2532,0.008218,0.008218,0.008218
38,2116.71,0.59693,0.54019,1.40233,0.92455,0.88535,0.94641,0.77294,0.48358,0.32574,1.26164,0.0081685,0.0081685,0.0081685
39,2172.72,0.59822,0.54485,1.40336,0.93669,0.87859,0.95142,0.77229,0.48055,0.31825,1.24871,0.008119,0.008119,0.008119
40,2228.81,0.59417,0.5326,1.39791,0.92948,0.88358,0.95292,0.78205,0.47153,0.31056,1.25273,0.0080695,0.0080695,0.0080695
41,2284.82,0.59218,0.53086,1.39761,0.92528,0.89263,0.9548,0.78293,0.47804,0.30895,1.25673,0.00802,0.00802,0.00802
42,2340.79,0.59018,0.53121,1.39298,0.92046,0.89603,0.95278,0.78499,0.46955,0.30277,1.24256,0.0079705,0.0079705,0.0079705
43,2397.5,0.58347,0.52552,1.3815,0.92937,0.9031,0.95288,0.78371,0.46934,0.3022,1.23926,0.007921,0.007921,0.007921
44,2453.5,0.58161,0.52379,1.38069,0.94024,0.90089,0.95626,0.79112,0.46661,0.2958,1.23224,0.0078715,0.0078715,0.0078715
45,2509.45,0.57524,0.51319,1.36401,0.92485,0.90955,0.95799,0.79326,0.45709,0.28764,1.22364,0.007822,0.007822,0.007822
46,2565.68,0.58003,0.51914,1.37354,0.92566,0.91451,0.95865,0.79403,0.4568,0.29115,1.22044,0.0077725,0.0077725,0.0077725
47,2621.96,0.57143,0.51155,1.35913,0.93632,0.90672,0.95746,0.79531,0.45175,0.28648,1.22123,0.007723,0.007723,0.007723
48,2678.06,0.573,0.5066,1.36213,0.94057,0.90786,0.96047,0.7962,0.45132,0.27978,1.21174,0.0076735,0.0076735,0.0076735
49,2734.12,0.56409,0.49462,1.35116,0.94633,0.90342,0.96309,0.80213,0.44766,0.27545,1.20774,0.007624,0.007624,0.007624
50,2790.53,0.56643,0.50108,1.35048,0.94539,0.91107,0.9619,0.8008,0.45128,0.27806,1.21356,0.0075745,0.0075745,0.0075745
51,2846.64,0.56213,0.49475,1.34736,0.94668,0.90657,0.96239,0.80603,0.44413,0.2745,1.20585,0.007525,0.007525,0.007525
52,2903.25,0.56242,0.48935,1.34124,0.94152,0.90811,0.96451,0.80563,0.44236,0.27237,1.20286,0.0074755,0.0074755,0.0074755
53,2959.87,0.55716,0.48968,1.34363,0.93617,0.91862,0.96533,0.81061,0.44126,0.26747,1.19611,0.007426,0.007426,0.007426
54,3015.84,0.55752,0.48365,1.33926,0.93954,0.91893,0.96441,0.81375,0.43895,0.26536,1.18577,0.0073765,0.0073765,0.0073765
55,3071.93,0.55407,0.48463,1.33341,0.95251,0.90495,0.96342,0.81244,0.43666,0.26829,1.18314,0.007327,0.007327,0.007327
56,3127.56,0.55041,0.47808,1.32667,0.94467,0.9228,0.96598,0.81528,0.43536,0.26058,1.18596,0.0072775,0.0072775,0.0072775
57,3183.97,0.54892,0.47622,1.32166,0.951,0.91931,0.96722,0.81427,0.43418,0.2599,1.18232,0.007228,0.007228,0.007228
58,3240.51,0.54945,0.47158,1.32813,0.95073,0.92814,0.96921,0.82162,0.42623,0.24796,1.17494,0.0071785,0.0071785,0.0071785
59,3296.84,0.55026,0.47715,1.32292,0.95146,0.92775,0.96983,0.82521,0.42322,0.2515,1.16359,0.007129,0.007129,0.007129
60,3352.7,0.54765,0.47235,1.31703,0.95186,0.91649,0.97043,0.82685,0.42535,0.25221,1.16649,0.0070795,0.0070795,0.0070795
