epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.945,1.03512,2.08273,1.27401,0.7907,0.77112,0.83752,0.62523,0.87413,0.93212,1.14937,0.00274366,0.00274366,0.00274366
2,247.402,0.95659,1.18883,1.19227,0.8527,0.72083,0.84886,0.63174,0.93164,0.97647,1.18917,0.00546576,0.00546576,0.00546576
3,367.471,0.98091,1.15937,1.21115,0.80604,0.77203,0.84114,0.61859,0.98046,0.99672,1.20854,0.00816065,0.00816065,0.00816065
4,486.318,0.99021,1.15549,1.23109,0.86781,0.79188,0.88349,0.66573,0.91559,0.86912,1.19002,0.00985148,0.00985148,0.00985148
5,605.101,0.9723,1.07787,1.21351,0.84665,0.80681,0.87541,0.66324,0.91965,0.86292,1.20511,0.00980198,0.00980198,0.00980198
6,723.039,0.95104,1.04174,1.20416,0.88303,0.84921,0.91209,0.71582,0.83433,0.74795,1.1461,0.00975247,0.00975247,0.00975247
7,840.417,0.92497,0.98423,1.19596,0.879,0.801,0.89333,0.69605,0.8605,0.80409,1.17635,0.00970296,0.00970296,0.00970296
8,957.799,0.90336,0.94091,1.18752,0.90197,0.83547,0.9229,0.7272,0.81997,0.69809,1.13158,0.00965346,0.00965346,0.00965346
9,1075.92,0.88457,0.90113,1.17211,0.90447,0.87542,0.9414,0.75397,0.78427,0.62383,1.10408,0.00960395,0.00960395,0.00960395
10,1193.38,0.8604,0.86564,1.15883,0.91005,0.86016,0.92955,0.75034,0.79881,0.6686,1.12711,0.00955445,0.00955445,0.00955445
11,1310.86,0.8523,0.83791,1.15226,0.92266,0.89627,0.94803,0.76494,0.77772,0.59144,1.10927,0.00950494,0.00950494,0.00950494
12,1428.44,0.83334,0.8132,1.13951,0.9291,0.88857,0.94687,0.76754,0.75021,0.59279,1.09149,0.00945543,0.00945543,0.00945543
13,1546.37,0.82774,0.79056,1.14468,0.92359,0.89006,0.94985,0.7728,0.75202,0.57282,1.0984,0.00940593,0.00940593,0.00940593
14,1664.53,0.81081,0.76433,1.1316,0.95311,0.90142,0.96224,0.79767,0.71292,0.51764,1.06413,0.00935642,0.00935642,0.00935642
15,1783.29,0.79638,0.75484,1.11799,0.93768,0.91602,0.95989,0.79696,0.70337,0.52776,1.04009,0.00930692,0.00930692,0.00930692
16,1901.59,0.77893,0.72937,1.11218,0.94034,0.92249,0.96483,0.80339,0.70387,0.50527,1.05125,0.00925741,0.00925741,0.00925741
17,2019.99,0.77665,0.7104,1.10953,0.95558,0.91217,0.96672,0.81023,0.69092,0.48405,1.03603,0.0092079,0.0092079,0.0092079
18,2138.54,0.76296,0.70812,1.10167,0.95912,0.91882,0.96579,0.81417,0.66881,0.47512,1.02553,0.0091584,0.0091584,0.0091584
19,2257.27,0.7548,0.6934,1.09671,0.93829,0.93646,0.97303,0.81781,0.67678,0.461,1.0383,0.00910889,0.00910889,0.00910889
20,2376.14,0.75508,0.68699,1.09425,0.95126,0.90355,0.96737,0.81318,0.68289,0.4851,1.03265,0.00905939,0.00905939,0.00905939
21,2494.2,0.74375,0.67508,1.09066,0.9482,0.92722,0.96977,0.82629,0.63975,0.45212,1.01593,0.00900988,0.00900988,0.00900988
22,2612.51,0.7334,0.65073,1.07923,0.94979,0.9274,0.97065,0.83325,0.64343,0.44315,1.01542,0.00896037,0.00896037,0.00896037
23,2731.16,0.72154,0.63714,1.07686,0.96705,0.92546,0.97645,0.83696,0.63514,0.42486,1.00304,0.00891087,0.00891087,0.00891087
24,2850.08,0.72196,0.62696,1.06717,0.96728,0.93448,0.97653,0.8382,0.63344,0.42195,1.00329,0.00886136,0.00886136,0.00886136
25,2968.57,0.70185,0.61613,1.06432,0.96153,0.9411,0.97616,0.8467,0.60414,0.41723,0.98311,0.00881186,0.00881186,0.00881186
26,3087.3,0.70165,0.61224,1.06626,0.9635,0.94124,0.97858,0.84882,0.60919,0.40379,0.988,0.00876235,0.00876235,0.00876235
27,3206.09,0.69439,0.60709,1.0572,0.96379,0.93672,0.97662,0.85122,0.59989,0.40738,0.97308,0.00871284,0.00871284,0.00871284
28,3324.49,0.68904,0.60057,1.05858,0.96691,0.95075,0.97949,0.85255,0.60043,0.39242,0.95847,0.00866334,0.00866334,0.00866334
29,3442.76,0.68049,0.59065,1.04943,0.96596,0.94948,0.98069,0.85801,0.59121,0.39498,0.96137,0.00861383,0.00861383,0.00861383
30,3560.99,0.67427,0.57933,1.0499,0.97755,0.947,0.98157,0.86352,0.57765,0.37648,0.97022,0.00856433,0.00856433,0.00856433
