epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5599,1.88188,3.36512,4.62246,0.2547,0.05567,0.01835,0.00549,1.60929,4.74847,4.06667,0.00452182,0.00452182,0.00452182
2,117.723,1.58231,2.91483,3.75651,0.11038,0.19014,0.08062,0.03305,1.32246,3.51828,3.39586,0.00900809,0.00900809,0.00900809
3,166.746,1.24198,2.42191,3.04132,0.29968,0.26174,0.21343,0.10387,1.09794,2.09779,2.88369,0.00990096,0.00990096,0.00990096
4,214.548,1.08251,2.06731,2.65746,0.34203,0.39391,0.30581,0.16047,1.01466,1.99964,2.61936,0.00985144,0.00985144,0.00985144
5,261.991,1.00332,1.86579,2.45944,0.48873,0.43345,0.44192,0.2594,0.86911,1.51043,2.27196,0.00980192,0.00980192,0.00980192
6,310.743,0.95901,1.7404,2.337,0.37658,0.32573,0.27781,0.14793,1.13027,2.21363,2.85079,0.0097524,0.0097524,0.0097524
7,357.876,0.93044,1.66443,2.26039,0.5453,0.52172,0.53701,0.33532,0.83813,1.31842,2.11773,0.00970288,0.00970288,0.00970288
8,405.929,0.89514,1.57366,2.178,0.52399,0.46344,0.46182,0.27099,0.92551,1.56982,2.28929,0.00965336,0.00965336,0.00965336
9,453.591,0.875,1.51373,2.1266,0.55283,0.53823,0.55693,0.34415,0.81395,1.26883,2.03114,0.00960384,0.00960384,0.00960384
10,500.92,0.84768,1.45482,2.05731,0.6217,0.56231,0.61308,0.39278,0.77612,1.14452,1.96018,0.00955432,0.00955432,0.00955432
11,548.166,0.82998,1.41753,2.01993,0.65781,0.56835,0.62884,0.40587,0.78102,1.1341,1.94782,0.0095048,0.0095048,0.0095048
12,595.243,0.8231,1.38609,1.99506,0.64196,0.59422,0.64145,0.42111,0.74647,1.10323,1.89562,0.00945528,0.00945528,0.00945528
13,644.057,0.80881,1.34446,1.96053,0.69717,0.61322,0.68806,0.46186,0.72373,1.00208,1.8223,0.00940576,0.00940576,0.00940576
14,692.093,0.79382,1.31297,1.93178,0.65039,0.62047,0.68562,0.46082,0.72614,1.03146,1.82842,0.00935624,0.00935624,0.00935624
15,740.223,0.78819,1.28563,1.91079,0.702,0.63781,0.71133,0.47941,0.70766,0.98522,1.80479,0.00930672,0.00930672,0.00930672
