epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3387,2.9427,12.9905,4.12878,0.07788,0.18249,0.05166,0.01463,2.53567,26.1882,3.72953,0.0019959,0.0019959,0.0019959
2,125.37,2.67999,11.2534,3.55865,0.24847,0.18064,0.13921,0.0511,2.25868,10.4525,3.1785,0.00398272,0.00398272,0.00398272
3,172.642,2.23765,9.65202,2.96112,0.3349,0.27052,0.21313,0.09207,1.98385,8.63186,2.80656,0.00595633,0.00595633,0.00595633
4,221.458,1.88117,8.1685,2.46545,0.40517,0.42357,0.37466,0.18213,1.68344,7.21933,2.28382,0.00791674,0.00791674,0.00791674
5,268.085,1.68212,7.19077,2.18938,0.47548,0.43887,0.43199,0.22484,1.62775,6.22917,2.19598,0.00986396,0.00986396,0.00986396
6,312.218,1.57532,6.65777,2.03943,0.48888,0.50018,0.46903,0.25376,1.43922,6.19895,1.964,0.009835,0.009835,0.009835
7,355.467,1.47573,6.16299,1.9108,0.58202,0.54246,0.56844,0.32584,1.33882,5.19923,1.79975,0.009802,0.009802,0.009802
8,400.665,1.42844,5.85235,1.84501,0.58558,0.57152,0.58832,0.3452,1.32133,5.1922,1.76114,0.009769,0.009769,0.009769
9,444.185,1.37786,5.54128,1.77649,0.63027,0.64116,0.67084,0.4091,1.23817,4.38447,1.66807,0.009736,0.009736,0.009736
10,487.915,1.35056,5.34616,1.73468,0.65381,0.615,0.6604,0.40821,1.23511,4.49944,1.64487,0.009703,0.009703,0.009703
11,531.692,1.31543,5.17744,1.69367,0.7345,0.66083,0.7207,0.45361,1.1801,3.87272,1.57858,0.00967,0.00967,0.00967
12,575.874,1.29466,5.04404,1.66352,0.70093,0.68514,0.73643,0.47371,1.17342,3.77131,1.54639,0.009637,0.009637,0.009637
13,620.118,1.2755,4.86458,1.63845,0.74699,0.6892,0.74912,0.47989,1.16913,3.68276,1.54584,0.009604,0.009604,0.009604
14,663.383,1.25284,4.73577,1.61041,0.78013,0.65985,0.76403,0.49963,1.11767,3.60448,1.49302,0.009571,0.009571,0.009571
15,707.308,1.23914,4.64547,1.59025,0.75825,0.68729,0.78021,0.51514,1.08915,3.44056,1.45847,0.009538,0.009538,0.009538
16,751.367,1.22862,4.57515,1.56305,0.76129,0.69321,0.75541,0.49227,1.16278,3.60232,1.50191,0.009505,0.009505,0.009505
