                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.0154,                 4.4372,                 1.6685,                0.80503,                0.62791,                0.72492,                0.42983,                0.01684,                 2.1433,                 1.5938,               0.068398,              0.0016633,              0.0016633
                      1,                0.01315,                 2.6553,                 1.4643,                0.88702,                0.75568,                0.84119,                0.53854,                0.01559,                 1.7132,                 1.5124,               0.036715,              0.0033134,              0.0033134
                      2,                0.01302,                 2.5342,                 1.4605,                0.84801,                0.74489,                0.81393,                0.58123,                0.01296,                 1.7747,                  1.339,              0.0050154,              0.0049471,              0.0049471
                      3,                0.01325,                 2.5859,                 1.4867,                0.88898,                0.74255,                0.82995,                0.54309,                0.01541,                 1.7775,                 1.5468,              0.0049257,              0.0049257,              0.0049257
                      4,                0.01299,                 2.4622,                 1.4869,                 0.8793,                0.73022,                0.82092,                0.52971,                0.01596,                 1.7932,                   1.59,              0.0049257,              0.0049257,              0.0049257
                      5,                0.01279,                 2.3491,                 1.4756,                0.90844,                0.72815,                 0.8278,                0.56924,                0.01436,                 1.6637,                 1.4704,               0.004901,               0.004901,               0.004901
                      6,                0.01253,                 2.2813,                 1.4651,                0.88917,                0.78278,                 0.8512,                0.57209,                0.01473,                 1.6416,                 1.5034,              0.0048762,              0.0048762,              0.0048762
                      7,                0.01252,                 2.2156,                 1.4628,                0.86835,                 0.7753,                 0.8356,                0.58717,                0.01399,                 1.6648,                 1.4696,              0.0048515,              0.0048515,              0.0048515
                      8,                0.01233,                 2.1768,                 1.4597,                0.91642,                0.83642,                0.89654,                0.65345,                0.01278,                 1.3432,                 1.3653,              0.0048267,              0.0048267,              0.0048267
                      9,                0.01216,                 2.0864,                 1.4431,                0.93969,                0.81337,                0.88584,                0.65734,                0.01208,                  1.302,                 1.3252,               0.004802,               0.004802,               0.004802
                     10,                0.01205,                 2.0456,                 1.4301,                0.93152,                0.83974,                0.90242,                0.66301,                0.01212,                 1.2654,                 1.3393,              0.0047772,              0.0047772,              0.0047772
                     11,                0.01198,                 1.9999,                 1.4339,                0.92473,                0.85115,                0.90664,                0.66236,                0.01284,                 1.2765,                 1.3808,              0.0047525,              0.0047525,              0.0047525
                     12,                0.01183,                 1.9679,                 1.4147,                0.93287,                0.83574,                0.90085,                0.68468,                0.01161,                 1.2281,                 1.2894,              0.0047278,              0.0047278,              0.0047278
                     13,                0.01176,                  1.937,                 1.4199,                0.93046,                0.83546,                0.89791,                0.65661,                0.01271,                 1.2881,                 1.3736,               0.004703,               0.004703,               0.004703
                     14,                0.01165,                  1.893,                  1.409,                0.93719,                0.87151,                0.92194,                0.70181,                0.01139,                 1.1837,                  1.294,              0.0046783,              0.0046783,              0.0046783
                     15,                0.01157,                 1.8579,                 1.4066,                0.95244,                0.87342,                0.92449,                0.71075,                 0.0113,                 1.1272,                  1.282,              0.0046535,              0.0046535,              0.0046535
                     16,                0.01151,                 1.8244,                 1.4123,                0.93962,                0.87562,                 0.9184,                0.70832,                0.01095,                 1.1031,                 1.2754,              0.0046288,              0.0046288,              0.0046288
                     17,                0.01141,                 1.8079,                    1.4,                0.96047,                0.88378,                0.93034,                 0.7288,                0.01069,                 1.0714,                 1.2465,               0.004604,               0.004604,               0.004604
                     18,                0.01133,                 1.7812,                 1.3878,                 0.9532,                0.89328,                0.93412,                0.72879,                0.01061,                  1.045,                 1.2213,              0.0045792,              0.0045792,              0.0045792
                     19,                0.01128,                 1.7355,                 1.3843,                0.95518,                0.87656,                0.92739,                0.69062,                0.01219,                  1.107,                  1.294,              0.0045545,              0.0045545,              0.0045545
                     20,                 0.0112,                 1.7393,                 1.3706,                  0.952,                 0.8736,                0.92236,                 0.7281,                0.01035,                 1.0608,                 1.2054,              0.0045297,              0.0045297,              0.0045297
                     21,                0.01119,                 1.7135,                 1.3627,                0.95617,                0.91093,                 0.9446,                0.72514,                0.01106,                 1.0193,                 1.2442,               0.004505,               0.004505,               0.004505
                     22,                0.01111,                 1.6866,                 1.3623,                0.95871,                0.89776,                0.93848,                0.72889,                0.01082,                0.99841,                 1.2168,              0.0044802,              0.0044802,              0.0044802
