fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.94892,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.94886,0.01152,0.00979,0.91995,0.00045,3.80694,0.92436,7.88782,0.57864,1.5,0.01491,0.6519,0.4,0.0,0.09744,0.6171,0.0,0.0,0.0,0.4673,0.0,1.0,0.0,0.0
0.94871,0.01048,0.01254,0.937,0.00048,2.69933,0.85993,6.28432,0.491,1.60001,0.0148,0.7,0.34941,0.0,0.1,0.47879,0.0,0.0,0.0,0.55244,0.0,1.0,0.0,0.0
0.941,0.00726,0.01072,0.98,0.00046,3.0,0.86223,7.5,0.42764,1.47811,0.01608,0.85992,0.45994,0.0,0.0697,0.54831,0.0,0.0,0.0,0.47009,0.0,0.84601,0.0,0.0
0.93812,0.01099,0.0129,0.973,0.00049,2.45836,0.89598,5.89411,0.45031,1.64457,0.01429,0.77955,0.36051,0.0,0.08961,0.45567,0.0,0.0,0.0,0.54654,0.0,1.0,0.0,0.0
0.95146,0.01147,0.00979,0.91995,0.00044,3.82142,0.92436,7.92488,0.56582,1.51913,0.01505,0.6434,0.39577,0.0,0.09815,0.61737,0.0,0.0,0.0,0.46657,0.0,1.0,0.0,0.0
0.95203,0.01141,0.00988,0.89373,0.00045,3.63717,0.88001,7.93642,0.59704,1.5251,0.015,0.6399,0.42285,0.0,0.09906,0.59555,0.0,0.0,0.0,0.44332,0.0,1.0,0.0,0.0
0.94667,0.01147,0.00979,0.91995,0.00044,3.90305,0.93152,8.46314,0.64048,1.6843,0.02106,0.7181,0.39577,0.0,0.10591,0.45161,0.0,0.0,0.0,0.53189,0.0,1.0,0.0,0.0
0.94825,0.01153,0.00883,0.9241,0.00047,3.84895,0.95,7.83281,0.56582,1.4181,0.0149,0.59187,0.38947,0.0,0.10102,0.66648,0.0,0.0,0.0,0.51952,0.0,1.0,0.0,0.0
0.95241,0.01066,0.00988,0.88938,0.00045,3.63717,0.88001,7.8841,0.59704,1.52442,0.01474,0.5951,0.40185,0.0,0.10077,0.63505,0.0,0.0,0.0,0.44332,0.0,0.98881,0.0,0.0
0.94963,0.00922,0.008,0.93193,0.00044,3.82142,0.84036,8.22141,0.56582,1.31421,0.01478,0.6434,0.36062,0.0,0.13962,0.66723,0.0,0.0,0.0,0.37186,0.0,0.9477,0.0,0.0
0.94862,0.01147,0.00979,0.92921,0.00048,3.82142,0.92436,8.11547,0.52873,1.46242,0.01388,0.63868,0.41585,0.0,0.09768,0.61855,0.0,0.0,0.0,0.46657,0.0,1.0,0.0,0.0
0.94969,0.01147,0.00978,0.92065,0.00044,3.8186,0.92848,7.93731,0.56258,1.52213,0.01505,0.64426,0.39689,0.0,0.09785,0.61661,0.0,0.0,0.0,0.4663,0.0,0.99785,0.0,0.0
0.9469,0.0115,0.00932,0.93332,0.00044,3.72629,0.94522,8.40833,0.62024,1.51913,0.01548,0.66808,0.41718,0.0,0.09772,0.58347,0.0,0.0,0.0,0.49649,0.0,0.99971,0.0,0.0
0.9506,0.01131,0.00988,0.89306,0.00045,3.67349,0.88001,7.94202,0.60281,1.50172,0.01506,0.64338,0.41909,0.0,0.09825,0.60851,0.0,0.0,0.0,0.43449,0.0,0.99374,0.0,0.0
