epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.5,0.61043,0.32514,1.01598,0.98151,0.96368,0.98301,0.85972,0.59967,0.31493,0.96635,0.070123,0.00331967,0.00331967
2,234.307,0.62314,0.36026,1.03081,0.99208,0.968,0.98967,0.87003,0.59118,0.28781,0.99321,0.0399912,0.00652128,0.00652128
3,346.737,0.67149,0.40979,1.0692,0.95246,0.94137,0.97186,0.7869,0.75348,0.41958,1.1077,0.00972749,0.00959088,0.00959088
4,458.383,0.74869,0.51274,1.11303,0.93404,0.91292,0.95765,0.79323,0.72239,0.46934,1.06466,0.009406,0.009406,0.009406
5,570.905,0.74207,0.52268,1.11027,0.9393,0.88015,0.94686,0.76971,0.78156,0.50679,1.13136,0.009208,0.009208,0.009208
6,681.843,0.72659,0.519,1.10797,0.94229,0.92035,0.96112,0.78477,0.73712,0.43763,1.1091,0.00901,0.00901,0.00901
7,794.417,0.7048,0.50884,1.09519,0.95476,0.93309,0.96971,0.81541,0.67222,0.39777,1.04435,0.008812,0.008812,0.008812
8,905.586,0.69598,0.49876,1.09131,0.95634,0.90877,0.96607,0.80625,0.69401,0.41803,1.07365,0.008614,0.008614,0.008614
9,1018.09,0.68595,0.48652,1.08759,0.95821,0.92679,0.96861,0.82382,0.65001,0.39437,1.03588,0.008416,0.008416,0.008416
10,1129.27,0.66556,0.47466,1.07167,0.96654,0.93411,0.97767,0.84067,0.6204,0.35831,1.01366,0.008218,0.008218,0.008218
11,1241.79,0.65411,0.46609,1.06101,0.95666,0.93678,0.97233,0.83044,0.64308,0.38252,1.024,0.00802,0.00802,0.00802
12,1352.94,0.64977,0.45866,1.05822,0.97349,0.93447,0.97603,0.84614,0.59788,0.35966,0.98861,0.007822,0.007822,0.007822
13,1465.27,0.63,0.44887,1.04192,0.95479,0.93771,0.97287,0.84029,0.61982,0.37138,1.00824,0.007624,0.007624,0.007624
14,1577.26,0.61937,0.43506,1.04534,0.96443,0.94767,0.9789,0.84863,0.59832,0.34575,0.98922,0.007426,0.007426,0.007426
15,1689.46,0.61264,0.43073,1.0359,0.95889,0.93368,0.97454,0.84467,0.60035,0.37633,0.98659,0.007228,0.007228,0.007228
16,1800.35,0.59868,0.42547,1.03457,0.93697,0.89819,0.94898,0.80574,0.66355,0.46762,1.05497,0.00703,0.00703,0.00703
17,1912.79,0.58634,0.4103,1.02432,0.97573,0.95331,0.97992,0.86892,0.55658,0.31854,0.96295,0.006832,0.006832,0.006832
18,2024.17,0.58125,0.40329,1.01954,0.97476,0.95504,0.98363,0.86955,0.54522,0.30687,0.95719,0.006634,0.006634,0.006634
19,2137.14,0.57541,0.39643,1.01897,0.97683,0.953,0.98283,0.87328,0.54134,0.30166,0.9415,0.006436,0.006436,0.006436
20,2248.94,0.56507,0.39038,1.01049,0.97117,0.95164,0.97992,0.86333,0.55774,0.31381,0.97521,0.006238,0.006238,0.006238
21,2361.78,0.55817,0.3868,1.00444,0.97616,0.95258,0.98279,0.87891,0.52552,0.30119,0.92057,0.00604,0.00604,0.00604
22,2473.92,0.54423,0.37548,0.99657,0.97292,0.95291,0.98317,0.87912,0.5305,0.30166,0.94164,0.005842,0.005842,0.005842
23,2587.44,0.53706,0.36798,0.99712,0.98152,0.95639,0.98457,0.88983,0.50491,0.28003,0.93278,0.005644,0.005644,0.005644
24,2698.88,0.52819,0.37015,1.00024,0.97942,0.96629,0.98473,0.8904,0.49878,0.28805,0.94243,0.005446,0.005446,0.005446
25,2811.29,0.51621,0.35889,0.98854,0.98783,0.96637,0.98682,0.89889,0.48309,0.265,0.90371,0.005248,0.005248,0.005248
26,2923.04,0.51121,0.35005,0.98482,0.98316,0.96962,0.98701,0.90159,0.48286,0.26451,0.92332,0.00505,0.00505,0.00505
27,3035.9,0.50169,0.3394,0.97941,0.98087,0.96705,0.98524,0.89918,0.48184,0.26282,0.90517,0.004852,0.004852,0.004852
28,3146.86,0.49325,0.33581,0.97591,0.98625,0.96572,0.98664,0.89869,0.48319,0.26044,0.92971,0.004654,0.004654,0.004654
29,3259.47,0.48669,0.32892,0.97265,0.98788,0.96406,0.9873,0.90824,0.46178,0.25112,0.91156,0.004456,0.004456,0.004456
30,3370.98,0.47982,0.32394,0.97305,0.98557,0.96488,0.98621,0.90727,0.46111,0.25766,0.92636,0.004258,0.004258,0.004258
31,3483.61,0.4717,0.31734,0.96488,0.98555,0.96894,0.99025,0.91323,0.45752,0.24125,0.90259,0.00406,0.00406,0.00406
32,3595.03,0.4658,0.30955,0.95779,0.98728,0.96982,0.98805,0.9182,0.43885,0.23605,0.87644,0.003862,0.003862,0.003862
33,3707.54,0.454,0.30789,0.95304,0.98551,0.96692,0.98716,0.9163,0.44487,0.2435,0.88932,0.003664,0.003664,0.003664
34,3818.52,0.45115,0.30185,0.95222,0.98717,0.97223,0.98734,0.91575,0.43014,0.2285,0.87419,0.003466,0.003466,0.003466
35,3930.87,0.442,0.29278,0.94958,0.98143,0.97364,0.98905,0.91623,0.4328,0.23168,0.88169,0.003268,0.003268,0.003268
36,4041.93,0.43522,0.29041,0.94562,0.98483,0.96803,0.98532,0.92079,0.42029,0.2272,0.89026,0.00307,0.00307,0.00307
37,4155.88,0.42777,0.28538,0.94204,0.98538,0.97456,0.98791,0.92432,0.41815,0.21976,0.87854,0.002872,0.002872,0.002872
38,4266.91,0.42456,0.28062,0.93878,0.98989,0.97555,0.99078,0.92701,0.40403,0.20808,0.86447,0.002674,0.002674,0.002674
39,4380.35,0.41465,0.27265,0.93176,0.98317,0.97537,0.99139,0.92873,0.402,0.21037,0.86352,0.002476,0.002476,0.002476
40,4491.58,0.40532,0.26857,0.92934,0.9887,0.97594,0.99063,0.92928,0.40173,0.20605,0.86376,0.002278,0.002278,0.002278
41,4605.3,0.34891,0.20056,0.88513,0.98745,0.97286,0.98948,0.92742,0.41403,0.21431,0.88549,0.00208,0.00208,0.00208
42,4716.68,0.34057,0.19703,0.87992,0.98944,0.97587,0.99044,0.93275,0.40228,0.20959,0.87328,0.001882,0.001882,0.001882
43,4829.75,0.33465,0.19418,0.8797,0.99213,0.97724,0.99103,0.93532,0.39161,0.20825,0.87597,0.001684,0.001684,0.001684
44,4941.01,0.3224,0.18869,0.87729,0.99028,0.97952,0.99004,0.93334,0.39062,0.20495,0.87763,0.001486,0.001486,0.001486
45,5053.69,0.31686,0.18496,0.87679,0.98982,0.97917,0.99084,0.93845,0.3824,0.19944,0.87358,0.001288,0.001288,0.001288
46,5165.45,0.30546,0.17728,0.8683,0.99193,0.97731,0.98977,0.93773,0.37753,0.19904,0.86668,0.00109,0.00109,0.00109
47,5277.72,0.30092,0.17435,0.86895,0.99185,0.97527,0.99053,0.93949,0.37426,0.19573,0.86232,0.000892,0.000892,0.000892
48,5388.29,0.29053,0.16779,0.86153,0.99135,0.97675,0.99091,0.9422,0.36897,0.19479,0.86157,0.000694,0.000694,0.000694
49,5499.74,0.28433,0.16425,0.85989,0.99049,0.97948,0.99152,0.94419,0.36362,0.18984,0.85938,0.000496,0.000496,0.000496
50,5610.23,0.27897,0.16013,0.86153,0.98996,0.97967,0.99123,0.94329,0.36143,0.18764,0.86073,0.000298,0.000298,0.000298
