epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.344,0.69044,0.36072,0.98845,0.98573,0.97311,0.98929,0.8597,0.68212,0.32337,0.9518,0.0769176,0.00299057,0.00299057
2,235.415,0.75294,0.43606,1.02299,0.97762,0.96191,0.98298,0.83476,0.71182,0.36546,0.99516,0.0536215,0.00587475,0.00587475
3,347.252,0.75543,0.46113,1.03193,0.95918,0.94218,0.97508,0.82052,0.74559,0.42566,1.0107,0.0302065,0.00863999,0.00863999
4,458.145,0.7987,0.52561,1.06007,0.88723,0.86987,0.92072,0.74103,0.83949,0.59099,1.11122,0.0107885,0.0107885,0.0107885
5,572.138,0.80717,0.55886,1.07465,0.90581,0.82499,0.90734,0.72076,0.927,0.66463,1.18406,0.0105614,0.0105614,0.0105614
6,683.072,0.80014,0.55448,1.07521,0.95199,0.92313,0.9634,0.80808,0.73726,0.43852,1.02487,0.0103342,0.0103342,0.0103342
7,796.004,0.7858,0.53684,1.0511,0.9572,0.91988,0.97203,0.81836,0.7297,0.43443,1.00048,0.0101071,0.0101071,0.0101071
8,907.349,0.76673,0.52833,1.04893,0.96316,0.93034,0.97259,0.82306,0.71318,0.42347,1.01497,0.00987992,0.00987992,0.00987992
9,1018.81,0.7568,0.51816,1.04815,0.96674,0.93051,0.974,0.83216,0.69322,0.39077,0.99633,0.00965277,0.00965277,0.00965277
10,1129.81,0.74642,0.50983,1.03346,0.94593,0.92275,0.96516,0.81898,0.69977,0.44007,1.00854,0.00942561,0.00942561,0.00942561
11,1241.45,0.72423,0.49699,1.02553,0.97293,0.9363,0.97702,0.83359,0.68492,0.3798,0.97142,0.00919846,0.00919846,0.00919846
12,1352.37,0.71609,0.49038,1.02773,0.96274,0.94528,0.97652,0.84344,0.65902,0.38103,0.99008,0.0089713,0.0089713,0.0089713
